,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Afg3l1,0.039614193,0.065187894,0.015935563,0.052439988,0.064724006,0.012683778,0.025212742,0.0379711,0.06348653,0.021744296,0.023962075,0.036657173,0.009652589,0.04071843,0.034766518,0.035613574,0.014736194,0.028884627,0.09262965,0.0897234,0.016767133,0.026478427
Acta1,0.019262511,0.010580065,0.0057323505,0.0015937507,0.0013551627,0.08153462,0.000746685,8.493127e-05,0.00032504427,4.7688685e-05,1.977637e-05,0.00028224045,0.015154661,0.0007389623,0.0024181546,0.004621314,0.008924283,0.00024640586,0.0011122918,0.0005208366,0.047367122,0.05469139
Nup133,0.11725683,0.39501652,0.03419115,0.19759843,0.22842205,0.09289253,0.080494165,0.15664041,0.26221746,0.089647196,0.09992736,0.24848416,0.044845417,0.18732657,0.15986066,0.13250458,0.09724195,0.104876414,0.3389032,0.3529701,0.093205236,0.10230078
Abcb10,0.18318424,0.19093083,0.031435825,0.28532097,0.3122977,0.08813453,0.06487789,0.5034399,1.0199424,0.05306804,0.16801159,0.094252914,0.020051392,0.23902288,0.10099844,0.105465636,0.11345032,0.077440515,0.58256817,0.6724235,0.08160487,0.090184726
Taf5l,0.12432839,0.1803111,0.06104924,0.16984455,0.1898967,0.06239754,0.07595922,0.095119335,0.14548947,0.06691515,0.060247723,0.101786464,0.06622824,0.11183258,0.103634514,0.087888464,0.06775371,0.10016696,0.28232068,0.29222336,0.10554935,0.08507496
Pgbd5,0.18722314,0.21857758,0.0048899655,0.34723902,0.75024736,0.08505557,0.0002891125,0.61605376,1.0850053,4.4343975e-05,0.43409288,0.0022722867,0.0013857918,0.076819256,0.1790617,0.14864387,0.026214201,0.00015589438,0.97285444,0.9946638,0.0075876717,0.009876173
Cog2,0.30007806,0.3151422,0.05840734,0.21732682,0.26611942,0.12632993,0.12211995,0.17722213,0.28439507,0.108816996,0.12356947,0.14810508,0.08638966,0.17714268,0.15524796,0.21902102,0.10416373,0.14870009,0.4454669,0.46385118,0.11181886,0.14727776
Agt,5.307938,1.1996882,0.024967838,0.0017981841,0.0017767394,0.2665493,0.0005273767,5.1869905e-05,0.00036915368,2.6276175e-05,0.00040469578,0.00048560716,0.024734128,0.0040843794,0.046078235,0.18737775,0.08309433,4.4436623e-05,0.0008868212,0.00012317987,0.07165892,0.049165636
C19h1orf198,0.39404875,0.19281699,0.003880849,4.193498e-05,8.80925e-05,0.07466379,0.004501189,0.43856364,1.1040834,0.00042059913,0.1743738,0.0034257562,0.008224057,0.08360924,0.021842213,0.051930875,0.11761001,0.0012292529,0.0002192603,0.00011325479,0.20247157,0.099141546
Ttc13,0.32908562,0.6928565,0.14210379,0.5224926,0.6008892,0.1903703,0.16520536,0.21325079,0.43639368,0.17941636,0.13922319,0.29723564,0.14977331,0.3123072,0.30434018,0.26975,0.12166274,0.17934613,1.0113188,1.0457206,0.18181027,0.17476785
